抓取时间,抓取时刻,订单号,安,非,赔,保,农,订单标题,金额(元）,年利率,期限（月）,还款方式,每月还款金额,进度,借款状态,剩余时间,结束时间,总投标数,浏览量,借款id,借入信用等级,借入信用分数,借出信用分数,成功次数,流标次数,身份认证,视频认证,学历认证,手机认证,借款目的,性别,年龄,婚姻状况,文化程度,住宅状况,是否购车,户口所在地,毕业学校,学历,学习形式,网站认证,淘宝网认证,卖家信用等级（皇冠数*10+钻石数*1）,关于我,我想要使用这笔款项做什么,我的还款能力说明
2014/05/12,16:18:03,100000,0,0,0,0,0,短期现金周转借款,10000,9,2,等额本息，每月还款,5075,100.00,借款成功,,2007/7/3,7,36,jackgu,A,149,328341,34,0,1,0,1,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:18:21,100001,0,0,0,0,0,买房子没有首付款，借钱付首付。,80000,8,36,等额本息，每月还款,2507,1.19,投标已结束,,2007/7/18,4,8,gary,D,65,45524,2,4,0,1,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:18:27,100002,0,0,0,0,0,Buying a car,80000,10,24,等额本息，每月还款,3692,0.69,投标已结束,,2007/6/30,3,223,tony,D,51,31018,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:18:31,100003,0,0,0,0,0,短期借美元 - 抵消信用卡还帐,8000,3,3,等额本息，每月还款,1372,100.00,借款成功,,2007/7/20,4,481,jackgu,A,149,328341,34,0,1,0,1,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:18:47,100005,0,0,0,0,0,投资借款：准备做一笔投资，向朋友借款,80000,5,6,等额本息，每月还款,13568,100.00,借款成功,,2007/1/30,5,738,yaning,E,37,41310,1,0,0,1,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:18:53,100007,0,0,0,0,0,3个月短期流动资金贷款,20000,6,3,等额本息，每月还款,16834,100.00,借款成功,,2007/7/18,2,472,Cruisor,E,39,20,1,0,0,1,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:19:00,100008,0,0,0,0,0,临时资金周转,5000,5,6,等额本息，每月还款,846,0.00,投标已结束,,2007/8/9,0,2,jianye87,HR,5,0,0,4,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:19:03,100009,0,0,0,0,0,临时借款,5500,5,6,等额本息，每月还款,930,0.00,投标已结束,,2007/8/19,0,2,jianye87,HR,5,0,0,4,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:19:34,100013,0,0,0,0,0,打算买量车,80000,8,36,等额本息，每月还款,2507,2.13,投标已结束,,2007/8/21,2,10,xiang,D,53,20,1,0,0,1,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:19:42,100014,0,0,0,0,0,读在职研究生的学费,18000,10,6,等额本息，每月还款,3088,6.39,投标已结束,,2007/8/11,6,74,huihuih,B,111,59839,7,1,0,1,1,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:19:50,100016,0,0,0,0,0,广告相关项目投资部分借款,80000,14,10,等额本息，每月还款,8447,18.75,投标已结束,,2007/7/13,2,35,yee,E,31,224,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:19:57,100017,0,0,0,0,0,借钱周转用于短期项目投资,100000,15,6,等额本息，每月还款,17403,20.00,投标已结束,,2007/7/25,2,30,tony,D,51,31018,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:20:00,100018,0,0,0,0,0,每逢年中的时候，总有爆炸的消费欲望,20000,5,12,等额本息，每月还款,1712,0.00,投标已结束,,2007/7/3,0,5,zirquez,E,48,20,0,3,0,0,0,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:20:03,100019,0,0,0,0,0,借钱投资-良好信誉和强偿还能力,200000,8,12,等额本息，每月还款,17398,0.50,投标已结束,,2007/7/2,1,4,sarilla,E,45,74,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
