抓取时间,抓取时刻,订单号,安,非,赔,保,农,订单标题,金额(元）,年利率,期限（月）,还款方式,每月还款金额,进度,借款状态,剩余时间,结束时间,总投标数,浏览量,借款id,借入信用等级,借入信用分数,借出信用分数,成功次数,流标次数,身份认证,视频认证,学历认证,手机认证,借款目的,性别,年龄,婚姻状况,文化程度,住宅状况,是否购车,关于我,我想要使用这笔款项做什么,我的还款能力说明
2014/03/03,13:43:23,460001,0,0,0,0,0,【个人消费】借来用于购买电脑,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天23时48分,,0,240,gongzhongxiu,HR,0,0,0,0,0,0,0,0,个人消费,女,49,离婚,高中,租用,没有,我是一个工作认真业务出色的且一能力的人,为了让儿子学习更方便所以需要购买电脑,月收入5000左右，有能力尝还
2014/03/03,13:43:25,460002,0,0,0,0,0,【个人消费】给家里买电器请帮帮忙,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天23时48分,,0,72,YU984264,HR,10,10,0,0,0,0,0,0,个人消费,男,23,未婚,中专,与父母共住,没有,你好 本人我已经很努力工作的,我想给家里买台大电视,我每月工资有2500 用600开还
2014/03/03,13:43:28,460003,0,0,0,0,0,"【个人消费】利息高,急用我,请投我",3000,20,7,等额本息，每月还款,458,100.00,投标已结束,,2014/2/27,19,342,maxiaomin,E,48,20,0,2,0,0,0,1,,,,,,,,"我在郑州铁路局下属的平顶山西火车站上班,工资4000多,有偿还能力.","我本想去买套家具呢,.手上还有一部分现金.","我在郑州铁路局下属的平顶山西火车站上班,工资4000多,有偿还能力."
2014/03/03,13:43:31,460004,0,0,0,0,0,【累积信用】累计信用，还款无压力,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天23时50分,,0,96,kangyefeng,HR,0,0,0,0,0,0,0,0,累计信用,男,29,已婚,本科,自置无按揭,没有,本人就就职于当地有名的民企旗下的投资担保公司，为业务经理，年收入15万左右。经济实力尚可，每年可余存资金5万元左右。为人诚信。,累计信用。首次体验网络P2P贷款。建立信用。,月收入12000，还款没问题。
2014/03/03,13:43:33,460005,0,0,1,0,0,【网商经营】淘宝店铺资金周转,4792,13,12,等额本息，每月还款,428,100.00,借款成功,,2014/2/27,24,72,272606641,HR,23,10,3,2,0,0,0,0,,,,,,,,两次在拍拍贷成功借款，都是按时还款的哦,用这笔资金做网店资金周转用哦，欢迎您http://shop63762369.taobao.com/光临我的淘宝店铺,相信我不会错！我是个值得信任的人
2014/03/03,13:43:38,460006,0,0,0,0,0,【个人消费】为自己以后多铺一条路,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天23时50分,,0,468,jiayuan123,HR,0,0,0,0,0,0,0,0,个人消费,男,25,未婚,中专,与父母共住,没有,我呢是在一家劳务公司上班的,接这个钱呢 是想买一电脑跟手机 手头钱不够 不想看别人的脸,正如前面说的 我是上班的 有固定收入 现在就是心急想买 如果按分期的话 每个月还几百块钱肯定是搓搓有余的
2014/03/03,13:43:41,460007,0,0,0,0,0,【实体经营】投资公司的实业和股份,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天23时52分,,0,258,lxf1989,HR,0,0,0,0,0,0,0,0,实体经营,男,25,未婚,研究生及以上,集体宿舍,没有,学生 现在一家公司中实习,投资大家乐公司，发展实业,我现在月工资5000，具有还款能力
2014/03/03,13:43:45,460008,0,0,1,0,0,【个人消费】资金周转按时还款,7000,13,6,等额本息，每月还款,1212,100.00,借款审批中,,2014/2/27,19,270,zy101435,D,53,242,8,1,1,1,0,1,,,,,,,,我在公司上班，有稳定的收入。,想买台大一点的空调，放在客厅。,我在公司每月有5000元的工资，有能力偿还这笔借款。
2014/03/03,13:43:52,460009,0,0,0,0,0,【个人消费】给妹妹交学费，解决燃煤之急,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天23时56分,,0,204,z1234512345,HR,0,0,0,0,0,0,0,0,个人消费,男,26,未婚,初中及以下,租用,没有,我在牡丹江上班，月收入可达6000元左右,解决家里燃眉之急的，帮妹妹叫学费,在牡丹江上班，有手艺 月收入可达到6000元
2014/03/03,13:43:55,460010,0,0,0,0,0,【个人消费】和朋友合租的房想借款付房租,3000,22,12,等额本息，每月还款,281,100.00,投标已结束,,2014/2/27,28,330,XYKDK,HR,10,10,0,1,0,0,0,0,,,,,,,,在南京工作和朋友合租的房，,在工作的地方和朋友合租了一间房，想用这笔款交房租。,在南京给厂里开车，工资每月5000元
2014/03/03,13:43:58,460011,0,0,0,0,0,【网贷体验】【网贷体验】体验一下网上贷款的经历。,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天23时56分,,0,90,hanchunbo419,HR,14,10,0,2,0,0,0,0,网贷体验,男,29,已婚,大专,与父母共住,没有,【网贷体验】体验一下网上贷款的经历。,$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$
2014/03/03,13:44:01,460012,0,0,0,0,0,【实体经营】经营装修 实现梦想,3000,13,8,等额本息，每月还款,394,0.00,正在预审,10天23时57分,,0,366,xialaohei,HR,22,20,0,0,0,0,0,1,实体经营,男,24,已婚,大专,自置无按揭,没有,2013.11.25 号开始创业 创新发艺美发沙龙机构,进行店面实体装修,经营客户 美发沙龙机构
2014/03/03,13:44:04,460013,0,0,0,0,0,【其他】因家中老人病重，资金周转出现问题,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天23时57分,,0,378,Alaska,HR,0,0,0,0,0,0,0,0,其他,女,31,已婚,高中,租用,是,借款目的只是为了生意上的资金周转,首次借款只有3000元，我只能用于个人消费，待还款后借贷10万元，用于生意上的资金周转。,我是做安装旧运输带工作的，也包括运输带买卖，不同型号和不同质量的分别以米计算价格，包括接头，以个计算价格，范围包括选矿厂、采石场、沙场等，运输带属于消耗品，所以还款没有任何问题。
2014/03/03,13:44:07,460014,0,0,0,0,0,【实体经营】有你的帮助，我会用心感谢,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天23时58分,,0,96,daisy1987,HR,0,0,0,0,0,0,0,0,实体经营,女,27,已婚,大专,自置有按揭,没有,我是一名少儿英语培训老师，每月有固定收入。由于去年买房，加先生刚开美发店，暂时资金周转困难。自己每月四千的工资作生活费外，还要还一些给朋友。现在春季种树，差一点资金。我喜欢的一句话：我就是我，只做我自己。,家里有山，准备趁春季买树苗种杉树,每月有固定的收入，扣社保四千左右。
2014/03/03,13:44:11,460015,0,0,0,0,0,【累积信用】尝试贷款，累积自己的信用额度，为自己毕业后就业贷款等作铺垫,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天23时58分,,0,234,onelxx,HR,10,10,0,0,0,1,0,1,累计信用,男,20,未婚,本科,与父母共住,没有,我现在是学生，每个月家庭的所给的开支是2500元每月，因为我的专业，所以我想毕业后有自己的个人工作室，所以现在提前贷款，累积自己的信用额度,毕业后我要自己创业，所以提前贷款来累积自己的信用额度,我每个月家庭所给开支是2000元每月，我的专业是音乐舞蹈教育，我每周在外面都会给学生上课，收入也保持在1500元左右，所以我的总收入在3500元每月，而我每个月的消费支出在2500以下，所以我有足够的空间来还款和还款能力
2014/03/03,13:44:13,460016,0,0,0,0,0,第二次借款 实习买东西,1000,23,7,等额本息，每月还款,154,100.00,借款成功,,2014/2/27,2,24,huatousd,E,34,25,2,2,0,1,0,0,,,,,,,,要实习了 买点乱七八糟的用品 第二次借款 第一次提前还上了 信誉良好,要实习了 买点乱七八糟的用品 生活用品等,每个月都有一千五的生活费 实习也有工资 肯定能够还清
2014/03/03,13:44:17,460017,0,0,0,0,0,【实体经营】扩大营业中的超市添加蔬菜水果肉类,3000,24,12,等额本息，每月还款,284,100.00,借款成功,,2014/2/27,13,222,wangshan1518,E,38,30,1,0,1,1,0,1,,,,,,,,我是一个创业小青年希望是得到帮助,扩大营业中的超市添加蔬菜水果肉类,我可以按时还款，经过几年的创业懂得做人的道理
2014/03/03,13:44:20,460018,0,0,0,0,0,【个人消费】诚信借贷，好借好还，再借不难！,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时00分,,0,156,zefey,E,26,20,0,1,1,1,0,0,个人消费,男,24,未婚,中专,与父母共住,没有,本人目前月收入在5000左右，收入一般，但比较稳定。,年前家里做了比较大的装修，花了不少钱，现在手头有点紧，借点钱周转一下。,本人月收入5000左右，生活中平时也没有太大的费用支出，3000块钱，能在较短的时间内还上。
2014/03/03,13:44:24,460019,0,0,0,0,0,购买一个家用投影仪,4200,16,5,等额本息，每月还款,874,100.00,借款成功,,2014/2/27,11,222,gzs35a2_,C,87,15511,20,3,1,1,1,1,,,,,,,,累积信用，从无逾期，请放心投,累积信用，从无逾期，请放心投,累积信用，从无逾期，请放心投
2014/03/03,13:44:31,460020,0,0,0,0,0,【个人消费】对房屋进行一次精装修,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时01分,,0,120,18616518815HJ,HR,0,0,0,0,0,0,0,0,个人消费,男,28,未婚,本科,自置有按揭,没有,我在一家公司里担任销售总监一职,我想要有这笔款来对房屋进行一次装修,我的还款来源主要是工资，我年薪15万
2014/03/03,13:44:34,460021,0,0,0,0,0,【个人消费】用于个人玩耍，消费,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时01分,,0,198,maoyadong,HR,0,0,0,0,0,0,0,0,个人消费,男,25,未婚,大专,与父母共住,没有,我是一个私营企业者，爱好旅游，常年在外出差,从是家具批发，扩大经营,一年重收入七八万，有一定还款能力
2014/03/03,13:44:40,460022,0,0,0,0,0,【实体经营】因业务扩大，购置建筑机械,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时02分,,0,222,ll18398598880,HR,0,0,0,0,0,0,0,0,实体经营,男,26,已婚,中专,自置无按揭,没有,本人一直从事中小型建筑水电安装，近段时间因曾加设备急需用款，,购置设备，业务扩大，增加归模,中级水电工，月收入4500
2014/03/03,13:44:42,460023,0,0,0,0,0,【个人消费】第3次借款了，诚实守信，希望大家多多支持，在此谢谢了！,4000,18,6,等额本息，每月还款,703,100.00,借款审批中,,2014/2/27,16,216,jiangyifang,D,68,30,3,2,1,1,0,1,,,,,,,,我是一名国有企业正式职员，工作已经长达8年之久，已经结婚并有一女。,目前由于资金周转不过来，所以急需资金周转,虽然4000只是个小数目，但对于现在的我来说非常的急需，企业个个月会准时发工资，每个月我会准时还上的，请大家多多支持！在此谢谢！
2014/03/03,13:44:47,460024,0,0,0,0,0,【网贷体验】了解下网络贷款的流程看下有多方便，以便下次要用钱来办理,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时02分,,0,174,lzy69_09_19,HR,0,0,0,0,0,0,0,0,网贷体验,男,45,已婚,大专,自置有按揭,是,我是网商，经营有5年了,就是想了解下网络贷款的流程看下有多方便，以便下次要用钱来办理,我每月有固定的写字楼收入
2014/03/03,13:44:49,460025,0,0,0,0,0,【累积信用】理财收入，无需多言，累积信用,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时04分,,0,468,wel663417,HR,10,10,0,0,0,0,0,0,累计信用,男,27,未婚,高中,自置无按揭,是,国有企业，信用有保证。已结婚,投资理财，顺便累积信用度。,每月有固定工资。也有车子，保证按时还款。
2014/03/03,13:44:52,460026,0,0,0,0,0,【其他】想下班晚上自己做点小生意,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时05分,,0,300,wu132,HR,0,0,0,0,0,0,0,0,其他,男,27,未婚,高中,租用,没有,我在一公司上班，有稳定工作。,现在想自己做点小生意，拓展自己的社会能力。,每月工资稳定，有一点的资金基础。
2014/03/03,13:44:55,460027,0,0,0,0,0,【个人消费】信用第一，这辈子我最大成功的就是信用,3000,22,10,等额本息，每月还款,332,100.00,借款审批中,,2014/2/28,22,312,qqqqqqaaa123,HR,24,20,0,0,1,0,0,1,,,,,,,,我是李强，请多多支持,买些礼物给女朋友，我要结婚,我在这公司收入是3000左右，业绩抽成1000左右。
2014/03/03,13:44:58,460028,0,0,0,0,0,【实体经营】为了生活还有还别人钱,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时07分,,0,186,lqh1314520,HR,0,0,0,0,0,0,0,0,实体经营,男,24,未婚,初中及以下,与父母共住,没有,前几天都在家里，不敢出去啊，现在没有打拼去赚钱是没有好生活1,用于生活，还有还人1500元。,我刚要去打工没钱去啊!
2014/03/03,13:45:00,460029,0,0,0,0,0,【实体经营】算是累积信用。。目前退伍回家想自己做点小生意,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时07分,,0,180,akon0000,HR,0,0,0,0,0,0,0,0,实体经营,男,27,已婚,高中,商住两用,没有,目前退伍回家想自己做点小生意。。算是创业吧。。来这里也想为自己累积一下信用。。,做点小生意。想在城边开个小吃店,手上还有点留洞资金。。还款没什么压力
2014/03/03,13:45:06,460030,0,0,0,0,0,【实体经营】电器短期资金周转,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时07分,,0,318,hua20130,HR,22,10,0,3,0,0,0,0,实体经营,女,33,已婚,大专,与父母共住,没有,第一次借款请大家支持支持！谢谢,本人实体店铺有两家目前新年过了资金差一点想大家帮帮帮忙支持！谢谢大家,月收入5万多，还款能力没问题！
2014/03/03,13:45:09,460031,0,0,0,0,0,【网商经营】急需用钱做网商，求借。,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时08分,,0,180,y1586852235,HR,0,0,0,0,0,0,0,0,网商经营,男,47,已婚,高中,租用,没有,想借钱现在缺少资金。,我想借钱做淘宝新开的微店。希望有人借我,一赚到钱我就还，请放心，希望有那位好人借我
2014/03/03,13:45:11,460032,0,0,0,0,0,【网商经营】网店备货需资金 准备换网店类目,3000,13,12,等额本息，每月还款,268,0.00,正在预审,11天00时09分,,0,300,mei5630,HR,11,10,0,0,0,0,0,0,网商经营,男,20,未婚,大专,自置无按揭,没有,我是在淘宝网的一名电商卖家,我想用这笔款项在发展一下除现有的类目外发展别的类目,我现在的网名每月收入一万元左右
2014/03/03,13:45:15,460033,0,0,0,0,0,【个人消费】买苹果电脑还差一点,3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时10分,,0,192,tlf_admin,HR,0,0,0,0,0,0,0,0,个人消费,男,32,离婚,大专,与父母共住,是,工薪阶层，工程监理，外来收入很高,买苹果电脑还差点钱，可以一个月内还清,工资、红包、投资收入
2014/03/03,13:45:17,460034,0,0,0,0,0,开学所需学费的补足,1000,23,7,等额本息，每月还款,155,100.00,投标已结束,,2014/2/27,4,24,hww245957,E,37,30,1,1,0,1,0,1,,,,,,,,我现在是大二的学生，因家境不是很好，故想申请贷款得到帮助。,在校生活所需的书费，生活费。,我还有几个月就实习工作了，而且平时有兼职。
2014/03/03,13:45:21,460035,0,0,0,0,0,"【网商经营】开年备货，店铺租金,加上前段时间去了医院,资金不够啊，求帮忙",3000,13,7,等额本息，每月还款,448,0.00,正在预审,11天00时11分,,0,1230,lclaihqq1314,HR,0,0,0,0,0,0,0,0,网商经营,男,21,未婚,高中,与父母共住,没有,"本人有淘宝供货的店铺 有自己的淘宝店铺 还款能力我是有, 就是不知道能不能借到 现在是个过渡期 所以我想来试试 看看能不能借到",这钱主要拿来是要学驾驶的,自己的店铺流水一个月在 2W 到5W 淘宝店铺一个月可以差不多几千块钱 店铺利润一个月最低6000
2014/03/03,13:45:24,460036,0,0,0,0,0,淘宝大卖家旺季备货,100000,16,6,等额本息，每月还款,17453,100.00,借款成功,,2014/2/27,47,114,lindal1983,E,38,25,1,0,1,1,1,0,,,,,,,,,,
